VBVID,VehicleLenght,VehicleSpeed,VehicleWeight,VehicleAxles,VehicleAxleWeight01,VehicleAxleWeight02,VehicleAxleWeight03,VehicleAxleWeight04,VehicleAxleWeight05,VehicleAxleWeight06,VehicleAxleWeight07,VehicleAxleWeight08,VehicleAxleWeight09,VehicleAxleWeight10,VehicleAxleWeight11,VehileAxelDistance0102,VehileAxelDistance0203,VehileAxelDistance0304,VehileAxelDistance0405,VehileAxelDistance0506,VehileAxelDistance0607,VehileAxelDistance0708,VehileAxelDistance0809,VehileAxelDistance0910,VehileAxelDistance1011
4903321,4300,101,1760,2,960,800,0,0,0,0,0,0,0,0,0,2600,0,0,0,0,0,0,0,0,0
4903322,4400,86,590,2,300,290,0,0,0,0,0,0,0,0,0,2700,0,0,0,0,0,0,0,0,0
4903323,11100,78,7900,2,2900,5000,0,0,0,0,0,0,0,0,0,6300,0,0,0,0,0,0,0,0,0
4903324,4100,101,1180,2,710,470,0,0,0,0,0,0,0,0,0,2450,0,0,0,0,0,0,0,0,0
4903325,4200,105,1500,2,870,630,0,0,0,0,0,0,0,0,0,2600,0,0,0,0,0,0,0,0,0
4903326,4200,106,660,2,390,270,0,0,0,0,0,0,0,0,0,2650,0,0,0,0,0,0,0,0,0
4903327,6800,83,2630,2,1140,1490,0,0,0,0,0,0,0,0,0,3850,0,0,0,0,0,0,0,0,0
4903328,3800,136,380,2,30,350,0,0,0,0,0,0,0,0,0,2650,0,0,0,0,0,0,0,0,0
4903329,4400,131,900,2,490,410,0,0,0,0,0,0,0,0,0,2500,0,0,0,0,0,0,0,0,0
4903330,4400,117,540,2,310,230,0,0,0,0,0,0,0,0,0,2500,0,0,0,0,0,0,0,0,0
4903331,4000,113,860,2,540,320,0,0,0,0,0,0,0,0,0,2350,0,0,0,0,0,0,0,0,0
4903332,4200,122,1290,2,700,590,0,0,0,0,0,0,0,0,0,2650,0,0,0,0,0,0,0,0,0
4903333,4300,121,1660,2,980,680,0,0,0,0,0,0,0,0,0,2800,0,0,0,0,0,0,0,0,0
4903334,9100,77,15300,3,3600,6400,5300,0,0,0,0,0,0,0,0,4700,1300,0,0,0,0,0,0,0,0
4903335,4400,90,990,2,590,400,0,0,0,0,0,0,0,0,0,2450,0,0,0,0,0,0,0,0,0
4903336,4400,116,720,2,440,280,0,0,0,0,0,0,0,0,0,2600,0,0,0,0,0,0,0,0,0
4903337,9000,74,16000,3,3900,5600,6500,0,0,0,0,0,0,0,0,4700,1350,0,0,0,0,0,0,0,0
4903338,4100,91,1370,2,870,500,0,0,0,0,0,0,0,0,0,2300,0,0,0,0,0,0,0,0,0
4903339,4500,95,950,2,560,390,0,0,0,0,0,0,0,0,0,2400,0,0,0,0,0,0,0,0,0
4903340,4000,99,1180,2,720,460,0,0,0,0,0,0,0,0,0,2450,0,0,0,0,0,0,0,0,0
4903341,4400,114,610,2,370,240,0,0,0,0,0,0,0,0,0,2400,0,0,0,0,0,0,0,0,0
4903342,17000,77,37600,6,4400,6900,6300,6400,7200,6400,0,0,0,0,0,3550,1250,6250,1250,1200,0,0,0,0,0
4903343,4100,120,1150,2,670,480,0,0,0,0,0,0,0,0,0,2600,0,0,0,0,0,0,0,0,0
4903344,15800,86,11000,4,2900,4500,2100,1500,0,0,0,0,0,0,0,3500,8200,1200,0,0,0,0,0,0,0
4903345,4000,89,1090,2,640,450,0,0,0,0,0,0,0,0,0,2450,0,0,0,0,0,0,0,0,0
4903346,4200,103,1930,2,1120,810,0,0,0,0,0,0,0,0,0,2700,0,0,0,0,0,0,0,0,0
