ID,PBT_ALLOWED,PBT_PASSED,PBT_READING,PBT_TOLERANT
4901321,16000,true,1730,16800
4901322,16000,true,1130,16800
4901324,16000,true,8500,16800
4901325,16000,true,9700,16800
4901326,16000,true,1110,16800
4901327,23000,true,10300,24150
4901328,16000,true,750,16800
4901329,16000,true,680,16800
4901330,23000,true,8800,24150
4901331,16000,true,1030,16800
4901333,16000,true,980,16800
4901334,16000,true,1870,16800
4901336,16000,true,910,16800
4901337,16000,true,1010,16800
4901338,16000,true,970,16800
4901340,16000,true,780,16800
4901343,16000,true,720,16800
4901344,16000,true,1300,16800
4901346,16000,true,900,16800
4901347,23000,true,6400,24150
4901348,16000,true,620,16800
4901351,16000,true,600,16800
4901352,16000,true,950,16800
4901353,23000,true,4190,24150
4901356,16000,true,610,16800
4901357,16000,true,600,16800
4901358,16000,true,1000,16800
4901359,23000,true,6020,24150
4901360,16000,true,5300,16800
4901361,16000,true,1740,16800
4901362,16000,true,920,16800
4901363,23000,true,7800,24150
4901364,16000,true,870,16800
4901365,23000,true,10400,24150
4901366,16000,true,1100,16800
4901367,23000,true,11000,24150
4901369,16000,true,1340,16800
4901370,16000,true,2160,16800
4901371,16000,true,1280,16800
4901372,16000,true,1130,16800
4901373,16000,true,2340,16800
4901375,16000,true,1570,16800
4901376,16000,true,1320,16800
4901377,41000,true,22400,43050
4901379,16000,true,1490,16800
4901381,23000,true,6700,24150
4901383,16000,true,1260,16800
4901385,16000,true,950,16800
4901386,16000,true,2360,16800
4901387,16000,true,630,16800
4901388,16000,true,1050,16800
4901389,16000,true,1020,16800
4901390,22000,true,2260,23100
4901391,23000,true,8100,24150
4901392,16000,true,1440,16800
4901393,16000,true,940,16800
4901394,16000,true,970,16800
4901395,16000,true,830,16800
4901397,16000,true,310,16800
4901398,16000,true,860,16800
4901400,33000,true,11400,34650
4901401,16000,true,900,16800
4901402,16000,true,890,16800
4901403,16000,true,2350,16800
4901405,16000,true,1230,16800
4901406,16000,true,970,16800
4901408,16000,true,960,16800
4901409,16000,true,860,16800
4901411,16000,true,1580,16800
4901412,16000,true,1370,16800
4901413,23000,true,13000,24150
4901415,16000,true,1040,16800
4901417,16000,true,1170,16800
4901418,48000,true,39100,50400
4901419,16000,true,550,16800
4901420,16000,true,830,16800
4901422,16000,true,4500,16800
4901424,41000,true,17000,43050
4901425,16000,true,1640,16800
4901426,16000,true,1060,16800
4901427,16000,true,1060,16800
4901428,16000,true,1210,16800
4901429,16000,true,1080,16800
4901430,16000,true,1720,16800
4901431,16000,true,910,16800
4901432,16000,true,680,16800
4901433,33000,true,13200,34650
4901434,16000,true,830,16800
4901436,16000,true,2690,16800
4901437,16000,true,2690,16800
4901438,16000,true,810,16800
4901439,23000,false,29900,24150
4901440,16000,true,830,16800
4901441,23000,true,19000,24150
4901442,16000,true,1260,16800
4901443,16000,true,2230,16800
4901444,16000,true,1070,16800
4901446,16000,true,700,16800
4901447,16000,true,2430,16800
4901448,16000,true,900,16800
4901449,16000,true,1140,16800
4901451,16000,true,1880,16800
4901452,16000,true,930,16800
4901453,16000,true,740,16800
4901454,16000,true,1350,16800
4901455,16000,true,690,16800
4901457,16000,true,1190,16800
4901458,16000,true,1780,16800
4901459,16000,true,880,16800
4901460,16000,true,1190,16800
4901462,16000,true,620,16800
4901464,33000,true,13100,34650
4901465,16000,true,15300,16800
4901466,16000,true,1790,16800
4901467,16000,true,1380,16800
4901468,23000,true,9500,24150
4901469,16000,true,1190,16800
4901470,16000,true,820,16800
4901471,16000,true,960,16800
4901472,16000,true,700,16800
4901473,16000,true,560,16800
4901474,16000,true,1530,16800
4901476,16000,true,1490,16800
4901477,16000,true,600,16800
4901478,16000,true,1330,16800
4901479,16000,true,1180,16800
4901480,16000,true,1800,16800
4901481,16000,true,1690,16800
4901482,16000,true,1590,16800
4901483,16000,true,450,16800
4901484,16000,true,250,16800
4901485,16000,true,710,16800
4901486,16000,true,2200,16800
4901487,16000,true,1260,16800
4901488,16000,true,1540,16800
4901489,16000,true,1250,16800
4901491,23000,true,16900,24150
4901492,23000,true,10500,24150
4901493,16000,true,1280,16800
4901494,16000,true,1040,16800
4901495,48000,true,29800,50400
4901496,16000,true,1860,16800
4901498,16000,true,710,16800
4901499,16000,true,1370,16800
4901500,26000,true,15000,27300
4901501,16000,true,2730,16800
4901503,16000,true,1010,16800
4901504,16000,true,1250,16800
4901505,16000,true,800,16800
4901507,16000,true,10500,16800
4901509,23000,true,16600,24150
4901512,16000,true,1340,16800
4901515,16000,true,800,16800
4901516,29000,true,22200,30450
4901519,16000,true,1860,16800
4901520,16000,true,1900,16800
4901521,50000,true,51200,52500
4901522,48000,true,46100,50400
4901523,16000,true,2010,16800
4901524,16000,true,1210,16800
4901525,16000,true,6900,16800
4901526,16000,true,1900,16800
4901527,16000,true,1030,16800
4901528,16000,true,900,16800
4901529,16000,true,1260,16800
4901531,16000,true,2650,16800
4901533,33000,true,13900,34650
4901534,16000,true,710,16800
4901535,16000,true,1910,16800
4901536,23000,true,18000,24150
4901537,16000,true,2780,16800
4901538,16000,true,1250,16800
4901539,16000,true,7700,16800
4901540,16000,true,620,16800
4901541,16000,true,9100,16800
4901543,22000,true,7500,23100
4901544,16000,true,11500,16800
4901545,16000,true,1160,16800
4901546,16000,true,1450,16800
4901547,16000,true,13100,16800
4901549,16000,true,2650,16800
4901552,50000,true,47500,52500
4901554,16000,true,610,16800
4901555,48000,true,42700,50400
4901556,33000,true,9200,34650
4901558,16000,true,1860,16800
4901560,36000,true,14900,37800
4901561,16000,true,5800,16800
4901562,16000,true,1280,16800
4901563,16000,true,960,16800
4901564,16000,true,1280,16800
4901566,23000,true,19400,24150
4901567,23000,true,9400,24150
4901568,23000,true,7500,24150
4901569,16000,true,600,16800
4901570,16000,true,1430,16800
4901571,33000,true,24600,34650
4901572,23000,true,16100,24150
4901573,16000,true,5400,16800
4901574,16000,true,8100,16800
4901575,16000,true,6200,16800
4901577,16000,true,950,16800
4901578,16000,true,1150,16800
4901579,16000,true,1330,16800
4901580,16000,true,920,16800
4901581,16000,true,960,16800
4901582,16000,true,910,16800
4901583,16000,true,1150,16800
4901584,16000,true,1410,16800
4901585,16000,true,1110,16800
4901586,16000,true,870,16800
4901587,16000,true,830,16800
4901589,16000,true,1660,16800
4901590,16000,true,2360,16800
4901591,16000,true,1130,16800
4901592,26000,true,13200,27300
4901594,16000,true,6500,16800
4901595,16000,true,960,16800
4901596,16000,true,830,16800
4901597,16000,true,2650,16800
4901598,16000,true,2650,16800
4901599,16000,true,920,16800
4901601,16000,true,930,16800
4901602,33000,true,15000,34650
4901603,16000,true,2040,16800
4901604,16000,true,790,16800
4901605,16000,true,880,16800
4901606,16000,true,950,16800
4901607,16000,true,930,16800
4901609,16000,true,950,16800
4901610,16000,true,1110,16800
4901611,16000,true,510,16800
4901612,16000,true,1100,16800
4901614,16000,true,1060,16800
4901615,16000,true,840,16800
4901616,16000,true,990,16800
4901617,16000,true,1110,16800
4901618,16000,true,610,16800
4901619,16000,true,1440,16800
4901620,16000,true,4450,16800
4901621,16000,true,960,16800
4901622,33000,true,22800,34650
4901623,41000,true,15600,43050
4901624,16000,true,2650,16800
4901625,48000,true,40200,50400
4901626,16000,true,1160,16800
4901628,16000,true,770,16800
4901629,23000,true,15700,24150
4901630,16000,true,2940,16800
4901631,16000,true,10300,16800
4901632,16000,true,530,16800
4901634,16000,true,960,16800
4901635,16000,true,1060,16800
4901637,16000,true,3540,16800
4901638,16000,true,1640,16800
4901642,16000,true,7500,16800
4901643,16000,true,730,16800
4901644,16000,true,5600,16800
4901645,16000,true,10100,16800
4901647,16000,true,1320,16800
4901648,16000,true,1080,16800
4901649,16000,true,10400,16800
4901650,23000,true,6000,24150
4901651,16000,true,1080,16800
4901652,16000,true,1060,16800
4901655,16000,true,1000,16800
4901656,16000,true,770,16800
4901657,16000,true,920,16800
4901658,16000,true,910,16800
4901663,16000,true,1200,16800
4901665,16000,true,880,16800
4901666,16000,true,680,16800
