TRUCK_ID,ALLOWED,PASSED,READING,TOLERANT
4901321,6000,true,760,6750
4901321,10000,true,970,11250
4901322,6000,true,710,6750
4901322,10000,true,420,11250
4901324,6000,true,3000,6750
4901324,10000,true,5500,11250
4901325,6000,true,5000,6750
4901325,10000,true,4700,11250
4901326,6000,true,630,6750
4901326,10000,true,480,11250
4901327,6000,true,2800,6750
4901327,17000,true,7500,19125
4901328,6000,true,500,6750
4901328,10000,true,250,11250
4901329,6000,true,420,6750
4901329,10000,true,260,11250
4901330,6000,true,3600,6750
4901330,17000,true,5200,19125
4901331,6000,true,630,6750
4901331,10000,true,400,11250
4901333,6000,true,580,6750
4901333,10000,true,400,11250
4901334,6000,true,970,6750
4901334,10000,true,900,11250
4901336,6000,true,440,6750
4901336,10000,true,470,11250
4901337,6000,true,610,6750
4901337,10000,true,400,11250
4901338,6000,true,540,6750
4901338,10000,true,430,11250
4901340,6000,true,450,6750
4901340,10000,true,330,11250
4901343,6000,true,460,6750
4901343,10000,true,260,11250
4901344,6000,true,670,6750
4901344,10000,true,630,11250
4901346,6000,true,560,6750
4901346,10000,true,340,11250
4901347,6000,true,2000,6750
4901347,17000,true,4400,19125
4901348,6000,true,380,6750
4901348,10000,true,240,11250
4901351,6000,true,320,6750
4901351,10000,true,280,11250
4901352,6000,true,510,6750
4901352,10000,true,440,11250
4901353,6000,true,1290,6750
4901353,17000,true,2900,19125
4901356,6000,true,360,6750
4901356,10000,true,250,11250
4901357,6000,true,360,6750
4901357,10000,true,240,11250
4901358,6000,true,650,6750
4901358,10000,true,350,11250
4901359,6000,true,2400,6750
4901359,17000,true,3620,19125
4901360,6000,true,2600,6750
4901360,10000,true,2700,11250
4901361,6000,true,830,6750
4901361,10000,true,910,11250
4901362,6000,true,530,6750
4901362,10000,true,390,11250
4901363,6000,true,2600,6750
4901363,17000,true,5200,19125
4901364,6000,true,480,6750
4901364,10000,true,390,11250
4901365,6000,true,4300,6750
4901365,17000,true,6100,19125
4901366,6000,true,620,6750
4901366,10000,true,480,11250
4901367,6000,true,3600,6750
4901367,17000,true,7400,19125
4901369,6000,true,840,6750
4901369,10000,true,500,11250
4901370,6000,true,1320,6750
4901370,10000,true,840,11250
4901371,6000,true,710,6750
4901371,10000,true,570,11250
4901372,6000,true,720,6750
4901372,10000,true,410,11250
4901373,6000,true,1410,6750
4901373,10000,true,930,11250
4901375,6000,true,960,6750
4901375,10000,true,610,11250
4901376,6000,true,700,6750
4901376,10000,true,620,11250
4901377,6000,true,5100,6750
4901377,10000,true,5400,11250
4901377,25000,true,11900,28125
4901379,6000,true,850,6750
4901379,10000,true,640,11250
4901381,6000,true,2400,6750
4901381,17000,true,4300,19125
4901383,6000,true,720,6750
4901383,10000,true,540,11250
4901385,6000,true,600,6750
4901385,10000,true,350,11250
4901386,6000,true,1190,6750
4901386,10000,true,1170,11250
4901387,6000,true,400,6750
4901387,10000,true,230,11250
4901388,6000,true,600,6750
4901388,10000,true,450,11250
4901389,6000,true,630,6750
4901389,10000,true,390,11250
4901390,12000,true,1780,13500
4901390,10000,true,480,11250
4901391,6000,true,3400,6750
4901391,17000,true,4700,19125
4901392,6000,true,820,6750
4901392,10000,true,620,11250
4901393,6000,true,570,6750
4901393,10000,true,370,11250
4901394,6000,true,570,6750
4901394,10000,true,400,11250
4901395,6000,true,470,6750
4901395,10000,true,360,11250
4901397,6000,true,180,6750
4901397,10000,true,130,11250
4901398,6000,true,490,6750
4901398,10000,true,370,11250
4901400,6000,true,2200,6750
4901400,10000,true,5200,11250
4901400,17000,true,4000,19125
4901401,6000,true,560,6750
4901401,10000,true,340,11250
4901402,6000,true,540,6750
4901402,10000,true,350,11250
4901403,6000,true,1430,6750
4901403,10000,true,920,11250
4901405,6000,true,610,6750
4901405,10000,true,620,11250
4901406,6000,true,590,6750
4901406,10000,true,380,11250
4901408,6000,true,620,6750
4901408,10000,true,340,11250
4901409,6000,true,520,6750
4901409,10000,true,340,11250
4901411,6000,true,860,6750
4901411,10000,true,720,11250
4901412,6000,true,940,6750
4901412,10000,true,430,11250
4901413,6000,true,4000,6750
4901413,17000,true,9000,19125
4901415,6000,true,610,6750
4901415,10000,true,430,11250
4901417,6000,true,750,6750
4901417,10000,true,420,11250
4901418,6000,true,4700,6750
4901418,17000,true,13000,19125
4901418,25000,true,21400,28125
4901419,6000,true,350,6750
4901419,10000,true,200,11250
4901420,6000,true,480,6750
4901420,10000,true,350,11250
4901422,6000,true,1700,6750
4901422,10000,true,2800,11250
4901424,6000,true,3000,6750
4901424,10000,true,6700,11250
4901424,25000,true,7300,28125
4901425,6000,true,970,6750
4901425,10000,true,670,11250
4901426,6000,true,540,6750
4901426,10000,true,520,11250
4901427,6000,true,620,6750
4901427,10000,true,440,11250
4901428,6000,true,680,6750
4901428,10000,true,530,11250
4901429,6000,true,650,6750
4901429,10000,true,430,11250
4901430,6000,true,980,6750
4901430,10000,true,740,11250
4901431,6000,true,580,6750
4901431,10000,true,330,11250
4901432,6000,true,410,6750
4901432,10000,true,270,11250
4901433,6000,true,2700,6750
4901433,10000,true,4800,11250
4901433,17000,true,5700,19125
4901434,6000,true,480,6750
4901434,10000,true,350,11250
4901436,6000,true,1570,6750
4901436,10000,true,1120,11250
4901437,6000,true,1570,6750
4901437,10000,true,1120,11250
4901438,6000,true,480,6750
4901438,10000,true,330,11250
4901439,6000,false,7100,6750
4901439,17000,false,22800,19125
4901440,6000,true,530,6750
4901440,10000,true,300,11250
4901441,6000,true,4500,6750
4901441,17000,true,14500,19125
4901442,6000,true,680,6750
4901442,10000,true,580,11250
4901443,6000,true,1030,6750
4901443,10000,true,1200,11250
4901444,6000,true,660,6750
4901444,10000,true,410,11250
4901446,6000,true,420,6750
4901446,10000,true,280,11250
4901447,6000,true,1220,6750
4901447,10000,true,1210,11250
4901448,6000,true,510,6750
4901448,10000,true,390,11250
4901449,6000,true,620,6750
4901449,10000,true,520,11250
4901451,6000,true,1030,6750
4901451,10000,true,850,11250
4901452,6000,true,530,6750
4901452,10000,true,400,11250
4901453,6000,true,490,6750
4901453,10000,true,250,11250
4901454,6000,true,800,6750
4901454,10000,true,550,11250
4901455,6000,true,420,6750
4901455,10000,true,270,11250
4901457,6000,true,580,6750
4901457,10000,true,610,11250
4901458,6000,true,1030,6750
4901458,10000,true,750,11250
4901459,6000,true,520,6750
4901459,10000,true,360,11250
4901460,6000,true,690,6750
4901460,10000,true,500,11250
4901462,6000,true,400,6750
4901462,10000,true,220,11250
4901464,6000,true,3900,6750
4901464,10000,true,3800,11250
4901464,17000,true,5400,19125
4901465,6000,true,5300,6750
4901465,10000,true,10000,11250
4901466,6000,true,1060,6750
4901466,10000,true,730,11250
4901467,6000,true,860,6750
4901467,10000,true,520,11250
4901468,6000,true,3200,6750
4901468,17000,true,6300,19125
4901469,6000,true,650,6750
4901469,10000,true,540,11250
4901470,6000,true,510,6750
4901470,10000,true,310,11250
4901471,6000,true,570,6750
4901471,10000,true,390,11250
4901472,6000,true,460,6750
4901472,10000,true,240,11250
4901473,6000,true,330,6750
4901473,10000,true,230,11250
4901474,6000,true,880,6750
4901474,10000,true,650,11250
4901476,6000,true,870,6750
4901476,10000,true,620,11250
4901477,6000,true,310,6750
4901477,10000,true,290,11250
4901478,6000,true,820,6750
4901478,10000,true,510,11250
4901479,6000,true,710,6750
4901479,10000,true,470,11250
4901480,6000,true,1170,6750
4901480,10000,true,630,11250
4901481,6000,true,1250,6750
4901481,10000,true,440,11250
4901482,6000,true,940,6750
4901482,10000,true,650,11250
4901483,6000,true,280,6750
4901483,10000,true,170,11250
4901484,6000,true,140,6750
4901484,10000,true,110,11250
4901485,6000,true,370,6750
4901485,10000,true,340,11250
4901486,6000,true,1350,6750
4901486,10000,true,850,11250
4901487,6000,true,760,6750
4901487,10000,true,500,11250
4901488,6000,true,940,6750
4901488,10000,true,600,11250
4901489,6000,true,660,6750
4901489,10000,true,590,11250
4901491,6000,true,3800,6750
4901491,17000,true,13100,19125
4901492,6000,true,4300,6750
4901492,17000,true,6200,19125
4901493,6000,true,700,6750
4901493,10000,true,580,11250
4901494,6000,true,570,6750
4901494,10000,true,470,11250
4901495,6000,true,4200,6750
4901495,17000,true,12600,19125
4901495,25000,true,13000,28125
4901496,6000,true,880,6750
4901496,10000,true,980,11250
4901498,6000,true,380,6750
4901498,10000,true,330,11250
4901499,6000,true,840,6750
4901499,10000,true,530,11250
4901500,6000,true,4100,6750
4901500,10000,true,5200,11250
